number_of_nodes,number_of_edges,time,number_of_path_edges,distance_m,start_id,end_id,datetime
29699102,31187074,25.918277740478516,7511,617430.7338070136,27355850,364740895,2020-09-27 19:30:08
29699102,31187074,12.065005540847778,3749,269439.50319002254,4825717324,6528152163,2020-09-27 19:30:20
29699102,31187074,32.44413948059082,8797,720606.2382131236,6379385578,4385017755,2020-09-27 19:30:54
29699102,31187074,24.155461311340332,6067,415487.6818408556,2694426753,5948371692,2020-09-27 19:31:25
29699102,31187074,6.071943759918213,6261,345377.9167854958,1719808408,2738339009,2020-09-27 19:32:53
29699102,31187074,4.796838998794556,4756,199804.0788632515,6437108833,1140653506,2020-09-27 19:33:03
29699102,31187074,0.9502615928649902,1973,106649.75144193746,247268275,2603362256,2020-09-27 19:33:08
29699102,31187074,10.325447797775269,5605,519854.3947479611,6258619196,365088277,2020-09-27 19:37:24
29699102,31187074,35.40095639228821,11543,851987.1837512658,588811663,2351694879,2020-09-27 19:38:00
29699102,31187074,11.08877682685852,6720,561451.6837527879,1038060747,1468455851,2020-09-27 19:43:55
29699102,31187074,33.173617124557495,9670,682640.9020219544,4956860159,822271038,2020-09-27 19:44:29
29699102,31187074,14.340890645980835,4519,489170.9172939,7383955062,5418663315,2020-09-27 19:44:54
29699102,31187074,2.463203191757202,641,26174.106199164646,3479073708,256756938,2020-09-27 19:45:06
29699102,31187074,38.85306739807129,9692,710412.6971160304,1640719808,1127222864,2020-09-27 19:45:52
29699102,31187074,9.780118703842163,4574,488551.6978514449,3936673584,1423426661,2020-09-27 19:47:37
29699102,31187074,28.777133464813232,7283,515116.4785152802,717016516,452170635,2020-09-27 19:52:31
29699102,31187074,23.586203813552856,7055,524941.9572524932,7259228463,6150166139,2020-09-27 19:54:17
29699102,31187074,30.599448204040527,8331,603472.6503696872,60489774,3172219046,2020-09-27 19:54:48
29699102,31187074,8.48281741142273,4681,468858.4949339378,2199454294,1615663244,2020-09-27 19:56:30
29699102,31187074,45.042572021484375,10004,691628.9877627101,21093171,278288932,2020-09-27 19:58:36
29699102,31187074,4.49541449546814,4692,269291.48847180523,262501735,7654999957,2020-09-27 20:00:03
29699102,31187074,2.0236237049102783,2775,63890.78300075377,4857485794,844795437,2020-09-27 20:00:05
29699102,31187074,31.027962923049927,7888,735993.1100695553,504908551,6750127147,2020-09-27 20:02:00
29699102,31187074,4.66530179977417,3367,188882.0112958948,2878603563,3349806641,2020-09-27 20:02:05
29699102,31187074,3.076188802719116,3002,182151.26347779678,2340129912,93822731,2020-09-27 20:02:08
29699102,31187074,13.964158296585083,5673,357207.87942797027,318247915,2192077904,2020-09-27 20:05:24
29699102,31187074,45.55796408653259,9009,839564.6508940018,3647983640,3878468339,2020-09-27 20:08:48
29699102,31187074,8.467669010162354,3971,346297.8993456077,274244340,2406071235,2020-09-27 20:10:24
29699102,31187074,7.019241809844971,6791,584749.3023323558,249794915,292279304,2020-09-27 20:10:34
29699102,31187074,13.550736665725708,6638,595241.9076479381,293588017,7170348047,2020-09-27 20:12:10
29699102,31187074,22.11290669441223,10530,619406.4394389453,1565412430,2246802003,2020-09-27 20:13:55
29699102,31187074,27.31204915046692,9939,673425.7763167135,5181487464,1237548855,2020-09-27 20:14:22
29699102,31187074,7.779503583908081,6275,479077.52421114204,942873779,801862424,2020-09-27 20:15:51
29699102,31187074,35.778786420822144,7984,642785.5477824662,324218873,1825697328,2020-09-27 20:20:43
29699102,31187074,22.40076184272766,6453,506466.89670693467,1339933779,52141178,2020-09-27 20:21:17
29699102,31187074,3.5064806938171387,4108,153863.84547659813,5442458209,305622623,2020-09-27 20:21:20
29699102,31187074,16.977957248687744,5176,457031.18908404844,5674592727,3039137366,2020-09-27 20:21:39
29699102,31187074,8.01248049736023,5686,366778.6007050274,991600882,343485740,2020-09-27 20:24:38
29699102,31187074,24.504985809326172,7236,456298.90413973556,110306935,2208867600,2020-09-27 20:25:14
29699102,31187074,14.744917869567871,9341,711273.3798924641,1899974903,298668563,2020-09-27 20:26:50
29699102,31187074,1.8356409072875977,2465,204302.38543055762,308602306,316562038,2020-09-27 20:29:41
29699102,31187074,13.472545862197876,9807,584750.1298681003,5527121180,775425801,2020-09-27 20:32:50
29699102,31187074,18.2090106010437,6773,498683.7005325645,411438685,7301501517,2020-09-27 20:33:09
29699102,31187074,19.69951868057251,7857,532639.9821323609,733701498,2651983248,2020-09-27 20:34:56
29699102,31187074,14.023340702056885,4227,473273.86264671443,6259837239,1080132962,2020-09-27 20:38:06
29699102,31187074,3.704009771347046,2782,213979.75883690963,366587065,302073556,2020-09-27 20:38:10
29699102,31187074,7.8173487186431885,5025,401528.6941618759,752658257,7693915804,2020-09-27 20:39:43
29699102,31187074,9.868598461151123,6161,448977.35900541494,4117326730,312796449,2020-09-27 20:42:53
29699102,31187074,28.603804111480713,6794,520057.71607855655,1711335936,3242886239,2020-09-27 20:43:22
29699102,31187074,12.305190324783325,7926,571972.9937323125,7622574468,258518952,2020-09-27 20:45:17
